Frame,MergedParticles,SplitParticles,TotalParticles
0,0,0,100000
1,0,0,100000
2,0,0,100000
3,0,0,100000
4,0,0,100000
5,0,0,100000
6,0,0,100000
7,0,0,100000
8,0,0,100000
9,0,0,100000
10,0,0,100000
11,0,0,100000
12,0,0,100000
13,0,0,100000
14,0,0,100000
15,0,0,100000
16,0,0,100000
17,0,0,100000
18,0,0,100000
19,0,0,100000
20,0,0,100000
21,0,0,100000
22,0,0,100000
23,0,0,100000
24,0,0,100000
25,0,0,100000
26,0,0,100000
27,0,0,100000
28,0,0,100000
29,0,0,100000
30,0,0,100000
31,0,0,100000
32,0,0,100000
33,0,0,100000
34,0,0,100000
35,0,0,100000
36,0,0,100000
37,0,0,100000
38,0,0,100000
39,0,0,100000
40,14382,0,100000
41,4655,0,85618
42,3006,0,80963
43,1447,0,77957
44,1257,0,76510
45,1132,0,75253
46,1363,0,74121
47,1015,0,72758
48,814,0,71743
49,721,0,70929
50,594,0,70208
51,494,0,69614
52,342,0,69120
53,332,0,68778
54,233,0,68446
55,214,0,68213
56,155,0,67999
57,112,0,67844
58,66,0,67732
59,49,0,67666
60,17,0,67617
61,5,0,67600
62,3,0,67595
63,6,0,67592
64,0,0,67586
65,2,0,67586
66,1,0,67584
67,0,0,67583
68,0,0,67583
69,0,0,67583
70,0,0,67583
71,0,0,67583
72,0,0,67583
73,0,0,67583
74,0,0,67583
75,0,0,67583
76,0,0,67583
77,0,0,67583
78,0,0,67583
79,0,0,67583
80,55,14,67583
81,69,29,67542
82,124,55,67502
83,99,92,67433
84,100,69,67426
85,74,66,67395
86,52,44,67387
87,25,38,67379
88,19,20,67392
89,101,20,67393
90,45,16,67312
91,15,19,67283
92,7,11,67287
93,7,10,67291
94,6,13,67294
95,6,9,67301
96,2,7,67304
97,1,3,67309
98,3,7,67311
99,0,1,67315
100,0,2,67316
101,0,2,67318
102,0,3,67320
103,0,2,67323
104,0,3,67325
105,0,3,67328
106,0,3,67331
107,3,3,67334
108,0,2,67334
109,0,1,67336
110,0,2,67337
111,0,0,67339
112,0,5,67339
113,0,2,67344
114,0,0,67346
115,0,3,67346
116,0,2,67349
117,1,1,67351
118,0,4,67351
119,1,1,67355
120,0,3,67355
121,0,0,67358
122,0,1,67358
123,0,0,67359
124,0,1,67359
125,3,2,67360
126,2,3,67359
127,0,2,67360
128,2,2,67362
129,0,0,67362
130,0,0,67362
131,8,3,67362
132,0,3,67357
133,1,2,67360
134,0,1,67361
135,0,1,67362
136,1,1,67363
137,0,1,67363
138,0,0,67364
139,0,2,67364
140,0,2,67366
141,0,0,67368
142,2,0,67368
143,0,0,67366
144,0,0,67366
145,0,0,67366
146,0,0,67366
147,0,1,67366
148,0,1,67367
149,2,0,67368
150,1,1,67366
151,0,0,67366
152,0,0,67366
153,0,1,67366
154,0,0,67367
155,0,1,67367
156,0,0,67368
157,0,0,67368
158,1,0,67368
159,0,2,67367
160,0,0,67369
161,0,0,67369
162,1,0,67369
163,1,0,67368
164,0,0,67367
165,0,0,67367
166,0,0,67367
167,0,0,67367
168,1,0,67367
169,0,0,67366
170,0,0,67366
171,0,1,67366
172,2,0,67367
173,2,0,67365
174,3,0,67363
175,2,0,67360
176,5,0,67358
177,5,0,67353
178,3,0,67348
179,9,2,67345
180,5,1,67338
181,4,2,67334
182,7,0,67332
183,1,0,67325
184,7,0,67324
185,8,0,67317
186,6,1,67309
187,4,0,67304
188,5,0,67300
189,7,0,67295
190,2,0,67288
191,13,1,67286
192,8,0,67274
193,11,0,67266
194,11,0,67255
195,8,1,67244
196,6,0,67237
197,14,0,67231
198,17,0,67217
199,10,0,67200
200,11,0,67190
201,9,0,67179
202,10,0,67170
203,22,0,67160
204,29,0,67138
205,18,0,67109
206,23,0,67091
207,21,1,67068
208,30,0,67048
209,24,0,67018
210,17,0,66994
211,22,0,66977
212,24,1,66955
213,18,0,66932
214,26,0,66914
215,62,0,66888
216,50,0,66826
217,57,0,66776
218,55,0,66719
219,42,0,66664
220,38,0,66622
221,63,0,66584
222,52,0,66521
223,59,0,66469
224,74,0,66410
225,79,0,66336
226,58,0,66257
227,66,0,66199
228,83,0,66133
229,83,0,66050
230,54,0,65967
231,78,0,65913
232,57,0,65835
233,53,0,65778
234,47,0,65725
235,60,0,65678
236,66,1,65618
237,60,0,65553
238,64,0,65493
239,71,0,65429
240,54,0,65358
241,49,0,65304
242,73,1,65255
243,117,0,65183
244,103,0,65066
245,77,0,64963
246,74,0,64886
247,74,0,64812
248,70,0,64738
249,79,0,64668
250,65,0,64589
251,74,1,64524
252,74,1,64451
253,67,0,64378
254,90,0,64311
255,90,0,64221
256,62,0,64131
257,89,1,64069
258,100,0,63981
259,94,0,63881
260,86,0,63787
261,75,0,63701
262,88,0,63626
263,104,0,63538
264,112,0,63434
265,108,0,63322
266,120,0,63214
267,103,0,63094
268,108,0,62991
269,126,0,62883
270,97,0,62757
271,96,0,62660
272,113,0,62564
273,68,0,62451
274,76,0,62383
275,85,0,62307
276,71,0,62222
277,89,0,62151
278,103,0,62062
279,85,0,61959
280,85,0,61874
281,77,0,61789
282,110,0,61712
283,103,2,61602
284,141,0,61501
285,110,0,61360
286,92,0,61250
287,116,0,61158
288,111,0,61042
289,138,0,60931
290,119,0,60793
291,77,0,60674
292,84,0,60597
293,85,0,60513
294,99,0,60428
295,102,1,60329
296,107,0,60228
297,118,1,60121
298,122,2,60004
299,132,0,59884
300,153,0,59752
301,135,1,59599
302,127,0,59465
303,130,0,59338
304,109,1,59208
305,117,0,59100
306,123,1,58983
307,127,0,58861
308,93,0,58734
309,121,1,58641
310,95,0,58521
311,82,0,58426
312,93,3,58344
313,117,1,58254
314,94,1,58138
315,101,0,58045
316,96,2,57944
317,93,2,57850
318,132,6,57759
319,158,1,57633
320,125,0,57476
321,129,5,57351
322,107,1,57227
323,163,5,57121
324,175,5,56963
325,129,4,56793
326,179,5,56668
327,180,6,56494
328,197,9,56320
329,215,8,56132
330,117,3,55925
331,117,5,55811
332,135,6,55699
333,166,6,55570
334,152,12,55410
335,87,0,55270
336,81,2,55183
337,89,3,55104
338,61,4,55018
339,77,9,54961
340,50,3,54893
341,50,2,54846
342,49,0,54798
343,53,5,54749
344,40,1,54701
345,31,2,54662
346,28,5,54633
347,30,2,54610
348,34,1,54582
349,24,5,54549
350,23,0,54530
351,28,2,54507
352,25,3,54481
353,21,2,54459
354,24,3,54440
355,22,1,54419
356,18,3,54398
357,26,3,54383
358,13,3,54360
359,19,1,54350
360,11,1,54332
361,23,1,54322
362,17,3,54300
363,20,3,54286
364,10,2,54269
365,11,2,54261
366,7,1,54252
367,14,3,54246
368,8,0,54235
369,16,1,54227
370,8,2,54212
371,13,2,54206
372,9,4,54195
373,6,3,54190
374,8,0,54187
375,10,5,54179
376,11,3,54174
377,10,1,54166
378,4,1,54157
379,6,3,54154
380,9,5,54151
381,8,7,54147
382,10,1,54146
383,11,1,54137
384,10,2,54127
385,12,3,54119
386,9,1,54110
387,18,1,54102
388,19,0,54085
389,7,4,54066
390,18,4,54063
391,13,2,54049
392,9,3,54038
393,5,2,54032
394,15,1,54029
395,14,5,54015
396,12,6,54006
397,18,1,54000
398,18,3,53983
399,9,3,53968
400,6,4,53962
401,12,3,53960
402,18,6,53951
403,12,2,53939
404,8,4,53929
405,15,3,53925
406,14,2,53913
407,19,4,53901
408,12,1,53886
409,11,4,53875
410,6,8,53868
411,11,5,53870
412,7,2,53864
413,3,3,53859
414,7,0,53859
415,8,3,53852
416,15,3,53847
417,9,5,53835
418,9,5,53831
419,14,1,53827
420,7,4,53814
421,9,9,53811
422,10,1,53811
423,3,3,53802
424,9,4,53802
425,19,3,53797
426,18,2,53781
427,11,1,53765
428,11,5,53755
429,7,4,53749
430,2,1,53746
431,7,4,53745
432,10,4,53742
433,8,2,53736
434,9,2,53730
435,13,3,53723
436,10,2,53713
437,8,4,53705
438,6,3,53701
439,6,1,53698
440,2,6,53693
441,3,2,53697
442,7,2,53696
443,3,0,53691
444,4,1,53688
445,7,4,53685
446,4,1,53682
447,6,3,53679
448,7,3,53676
449,2,3,53672
450,9,3,53673
451,6,1,53667
452,8,4,53662
453,4,4,53658
454,5,1,53658
455,4,0,53654
456,7,3,53650
457,6,3,53646
458,5,3,53643
459,3,1,53641
460,6,0,53639
461,4,2,53633
462,7,2,53631
463,2,0,53626
464,4,2,53624
465,8,6,53622
466,4,0,53620
467,3,1,53616
468,7,3,53614
469,7,1,53610
470,1,0,53604
471,6,3,53603
472,6,1,53600
473,4,3,53595
474,4,2,53594
475,3,0,53592
476,5,2,53589
477,4,3,53586
478,3,3,53585
479,3,2,53585
480,5,2,53584
481,4,2,53581
482,1,1,53579
483,5,3,53579
484,5,4,53577
485,2,1,53576
486,5,2,53575
487,8,1,53572
488,5,0,53565
489,3,2,53560
490,4,2,53559
491,8,0,53557
492,11,1,53549
493,8,4,53539
494,4,2,53535
495,5,3,53533
496,3,1,53531
497,9,2,53529
498,5,2,53522
499,2,3,53519
500,5,3,53520
501,3,2,53518
502,2,0,53517
503,6,1,53515
504,8,1,53510
505,7,1,53503
506,2,1,53497
507,4,2,53496
508,6,2,53494
509,8,2,53490
510,5,1,53484
511,9,2,53480
512,7,4,53473
513,10,1,53470
514,4,4,53461
515,2,0,53461
516,11,2,53459
517,9,2,53450
518,9,2,53443
519,8,3,53436
520,8,3,53431
521,1,1,53426
522,6,3,53426
523,10,1,53423
524,5,2,53414
525,7,0,53411
526,4,0,53404
527,7,1,53400
528,2,1,53394
529,9,0,53393
530,9,1,53384
531,8,1,53376
532,13,2,53369
533,9,2,53358
534,3,1,53351
535,7,3,53349
536,3,0,53345
537,6,1,53342
538,5,3,53337
539,8,1,53335
540,6,3,53328
541,9,0,53325
542,8,1,53316
543,4,1,53309
544,5,1,53306
545,2,1,53302
546,7,1,53301
547,8,2,53295
548,4,0,53289
549,3,2,53285
550,11,0,53284
551,10,1,53273
552,6,1,53264
553,3,2,53259
554,9,1,53258
555,5,0,53250
556,8,1,53245
557,5,1,53238
558,5,0,53234
559,1,3,53229
560,4,0,53231
561,10,1,53227
562,5,1,53218
563,6,0,53214
564,2,0,53208
565,4,1,53206
566,3,2,53203
567,6,0,53202
568,7,0,53196
569,5,1,53189
570,8,0,53185
571,6,1,53177
572,5,0,53172
573,4,1,53167
574,10,0,53164
575,5,2,53154
576,5,0,53151
577,5,1,53146
578,7,1,53142
579,4,0,53136
580,1,1,53132
581,6,2,53132
582,6,1,53128
583,12,2,53123
584,2,0,53113
585,4,0,53111
586,7,2,53107
587,12,0,53102
588,3,0,53090
589,4,1,53087
590,8,0,53084
591,12,0,53076
592,15,0,53064
593,12,3,53049
594,8,2,53040
595,6,0,53034
596,11,4,53028
597,11,3,53021
598,8,0,53013
599,9,1,53005
600,2,1,52997
601,10,0,52996
602,5,2,52986
