Frame,MergedParticles,SplitParticles,TotalParticles
0,0,0,100000
1,0,0,100000
2,0,0,100000
3,0,0,100000
4,0,0,100000
5,0,0,100000
6,0,0,100000
7,0,0,100000
8,0,0,100000
9,0,0,100000
10,0,0,100000
11,0,0,100000
12,0,0,100000
13,0,0,100000
14,0,0,100000
15,0,0,100000
16,0,0,100000
17,0,0,100000
18,0,0,100000
19,0,0,100000
20,0,0,100000
21,0,0,100000
22,0,0,100000
23,0,0,100000
24,0,0,100000
25,0,0,100000
26,0,0,100000
27,0,0,100000
28,0,0,100000
29,0,0,100000
30,0,0,100000
31,0,0,100000
32,0,0,100000
33,0,0,100000
34,0,0,100000
35,0,0,100000
36,0,0,100000
37,0,0,100000
38,0,0,100000
39,0,0,100000
40,14402,0,85598
41,4388,0,81210
42,3297,0,77913
43,1362,0,76551
44,1212,0,75339
45,1158,0,74181
46,1447,0,72734
47,934,0,71800
48,886,0,70914
49,678,0,70236
50,571,0,69665
51,560,0,69105
52,362,0,68743
53,330,0,68413
54,226,0,68187
55,188,0,67999
56,154,0,67845
57,111,0,67734
58,63,0,67671
59,53,0,67618
60,15,0,67603
61,6,0,67597
62,8,0,67589
63,7,0,67582
64,3,0,67579
65,2,0,67577
66,0,0,67577
67,0,0,67577
68,0,0,67577
69,0,0,67577
70,0,0,67577
71,0,0,67577
72,0,0,67577
73,0,0,67577
74,0,0,67577
75,0,0,67577
76,0,0,67577
77,0,0,67577
78,0,0,67577
79,0,0,67577
80,65,14,67526
81,77,45,67494
82,108,59,67445
83,111,68,67402
84,94,78,67386
85,111,80,67355
86,61,73,67367
87,42,49,67374
88,25,30,67379
89,110,27,67296
90,24,15,67287
91,12,18,67293
92,8,19,67304
93,8,11,67307
94,2,3,67308
95,3,5,67310
96,2,9,67317
97,1,3,67319
98,2,6,67323
99,1,3,67325
100,1,2,67326
101,1,4,67329
102,0,2,67331
103,0,2,67333
104,0,2,67335
105,1,5,67339
106,2,1,67338
107,4,1,67335
108,0,0,67335
109,0,2,67337
110,0,1,67338
111,0,1,67339
112,0,1,67340
113,2,0,67338
114,0,2,67340
115,0,1,67341
116,0,1,67342
117,0,1,67343
118,0,1,67344
119,0,2,67346
120,0,0,67346
121,0,1,67347
122,0,0,67347
123,0,0,67347
124,0,2,67349
125,0,3,67352
126,0,0,67352
127,0,0,67352
128,1,0,67351
129,0,0,67351
130,0,1,67352
131,0,1,67353
132,0,1,67354
133,1,1,67354
134,0,0,67354
135,1,1,67354
136,0,0,67354
137,0,0,67354
138,0,0,67354
139,0,0,67354
140,0,1,67355
141,1,0,67354
142,1,1,67354
143,0,1,67355
144,0,1,67356
145,1,0,67355
146,1,1,67355
147,1,3,67357
148,0,0,67357
149,0,0,67357
150,0,1,67358
151,0,1,67359
152,1,0,67358
153,0,2,67360
154,1,2,67361
155,0,0,67361
156,0,0,67361
157,0,0,67361
158,2,1,67360
159,0,0,67360
160,1,0,67359
161,1,0,67358
162,2,0,67356
163,1,1,67356
164,0,0,67356
165,0,0,67356
166,2,0,67354
167,2,2,67354
168,1,0,67353
169,0,1,67354
170,3,0,67351
171,0,0,67351
172,2,1,67350
173,2,1,67349
174,2,0,67347
175,3,2,67346
176,3,0,67343
177,0,0,67343
178,1,1,67343
179,2,0,67341
180,3,2,67340
181,1,1,67340
182,2,0,67338
183,2,0,67336
184,3,0,67333
185,3,0,67330
186,3,0,67327
187,4,0,67323
188,3,0,67320
189,8,0,67312
190,1,0,67311
191,4,1,67308
192,4,1,67305
193,7,0,67298
194,4,0,67294
195,5,0,67289
196,4,0,67285
197,7,0,67278
198,13,1,67266
199,6,0,67260
200,22,0,67238
201,26,1,67213
202,17,0,67196
203,34,0,67162
204,32,1,67131
205,22,0,67109
206,29,0,67080
207,27,1,67054
208,25,0,67029
209,39,0,66990
210,28,0,66962
211,33,0,66929
212,38,0,66891
213,43,1,66849
214,25,1,66825
215,41,1,66785
216,53,0,66732
217,37,0,66695
218,67,0,66628
219,47,0,66581
220,47,0,66534
221,50,1,66485
222,68,0,66417
223,65,0,66352
224,68,0,66284
225,65,0,66219
226,75,0,66144
227,86,0,66058
228,83,0,65975
229,59,0,65916
230,65,1,65852
231,58,0,65794
232,39,0,65755
233,59,0,65696
234,47,1,65650
235,39,0,65611
236,65,0,65546
237,56,1,65491
238,50,0,65441
239,65,0,65376
240,63,2,65315
241,75,0,65240
242,63,1,65178
243,67,0,65111
244,71,0,65040
245,78,0,64962
246,65,1,64898
247,50,1,64849
248,83,0,64766
249,46,0,64720
250,72,0,64648
251,88,0,64560
252,93,0,64467
253,89,1,64379
254,89,0,64290
255,105,0,64185
256,89,1,64097
257,79,0,64018
258,87,0,63931
259,87,0,63844
260,105,0,63739
261,82,0,63657
262,75,0,63582
263,100,1,63483
264,114,0,63369
265,128,1,63242
266,97,1,63146
267,111,1,63036
268,117,0,62919
269,112,1,62808
270,91,0,62717
271,105,0,62612
272,104,0,62508
273,75,0,62433
274,94,0,62339
275,73,0,62266
276,88,0,62178
277,80,0,62098
278,82,0,62016
279,97,0,61919
280,98,0,61821
281,121,0,61700
282,83,0,61617
283,120,0,61497
284,90,0,61407
285,106,0,61301
286,119,0,61182
287,139,0,61043
288,113,1,60931
289,119,0,60812
290,129,0,60683
291,102,0,60581
292,101,0,60480
293,113,0,60367
294,114,0,60253
295,88,1,60166
296,96,0,60070
297,99,0,59971
298,101,0,59870
299,100,0,59770
300,93,0,59677
301,140,0,59537
302,129,0,59408
303,119,0,59289
304,131,2,59160
305,123,0,59037
306,143,1,58895
307,129,0,58766
308,127,0,58639
309,103,2,58538
310,78,2,58462
311,94,1,58369
312,107,3,58265
313,117,1,58149
314,110,1,58040
315,82,0,57958
316,113,0,57845
317,94,0,57751
318,122,2,57631
319,107,1,57525
320,149,2,57378
321,135,2,57245
322,150,2,57097
323,154,1,56944
324,138,1,56807
325,121,3,56689
326,182,6,56513
327,212,8,56309
328,229,17,56097
329,208,10,55899
330,168,5,55736
331,153,5,55588
332,147,9,55450
333,127,8,55331
334,118,6,55219
335,75,4,55148
336,80,4,55072
337,90,5,54987
338,74,3,54916
339,54,2,54864
340,43,2,54823
341,55,1,54769
342,47,2,54724
343,45,1,54680
344,39,2,54643
345,37,3,54609
346,35,3,54577
347,29,2,54550
348,26,1,54525
349,33,0,54492
350,22,3,54473
351,21,1,54453
352,24,3,54432
353,27,6,54411
354,26,3,54388
355,21,2,54369
356,18,3,54354
357,17,2,54339
358,11,1,54329
359,18,2,54313
360,17,4,54300
361,10,2,54292
362,12,1,54281
363,17,0,54264
364,12,4,54256
365,12,1,54245
366,11,3,54237
367,13,5,54229
368,8,4,54225
369,6,2,54221
370,8,2,54215
371,10,1,54206
372,10,1,54197
373,12,3,54188
374,16,7,54179
375,7,3,54175
376,11,1,54165
377,4,1,54162
378,8,3,54157
379,13,3,54147
380,14,2,54135
381,12,3,54126
382,16,2,54112
383,9,3,54106
384,14,2,54094
385,13,0,54081
386,11,3,54073
387,14,3,54062
388,10,5,54057
389,6,3,54054
390,7,2,54049
391,5,3,54047
392,13,1,54035
393,10,4,54029
394,12,1,54018
395,9,6,54015
396,10,2,54007
397,8,5,54004
398,15,3,53992
399,12,3,53983
400,20,5,53968
401,9,6,53965
402,9,2,53958
403,9,5,53954
404,10,4,53948
405,13,3,53938
406,13,4,53929
407,19,3,53913
408,16,3,53900
409,14,2,53888
410,12,1,53877
411,12,1,53866
412,5,3,53864
413,12,4,53856
414,7,3,53852
415,10,0,53842
416,18,3,53827
417,13,2,53816
418,18,6,53804
419,4,8,53808
420,5,4,53807
421,9,6,53804
422,13,6,53797
423,7,5,53795
424,7,4,53792
425,14,0,53778
426,8,1,53771
427,4,5,53772
428,7,1,53766
429,7,5,53764
430,3,3,53764
431,10,4,53758
432,9,3,53752
433,19,4,53737
434,11,1,53727
435,8,2,53721
436,7,1,53715
437,7,4,53712
438,8,1,53705
439,6,2,53701
440,6,5,53700
441,4,5,53701
442,4,3,53700
443,5,3,53698
444,2,5,53701
445,5,1,53697
446,8,3,53692
447,7,3,53688
448,6,1,53683
449,3,1,53681
450,8,1,53674
451,4,0,53670
452,9,3,53664
453,3,1,53662
454,2,1,53661
455,4,2,53659
456,3,0,53656
457,7,1,53650
458,7,3,53646
459,4,1,53643
460,4,3,53642
461,6,2,53638
462,5,2,53635
463,4,2,53633
464,2,3,53634
465,4,5,53635
466,11,1,53625
467,5,1,53621
468,2,2,53621
469,4,3,53620
470,10,1,53611
471,3,1,53609
472,6,0,53603
473,6,3,53600
474,8,2,53594
475,0,1,53595
476,9,2,53588
477,6,2,53584
478,5,1,53580
479,7,3,53576
480,7,2,53571
481,3,2,53570
482,3,1,53568
483,2,3,53569
484,7,0,53562
485,1,3,53564
486,3,1,53562
487,7,5,53560
488,5,0,53555
489,5,3,53553
490,2,3,53554
491,3,3,53554
492,7,0,53547
493,3,0,53544
494,3,2,53543
495,3,1,53541
496,5,0,53536
497,4,0,53532
498,4,2,53530
499,2,2,53530
500,9,2,53523
501,6,2,53519
502,11,3,53511
503,10,2,53503
504,4,1,53500
505,5,0,53495
506,6,3,53492
507,2,2,53492
508,8,4,53488
509,8,1,53481
510,8,2,53475
511,7,3,53471
512,5,1,53467
513,6,1,53462
514,2,4,53464
515,10,3,53457
516,6,1,53452
517,4,3,53451
518,11,0,53440
519,7,1,53434
520,4,2,53432
521,3,0,53429
522,8,5,53426
523,8,0,53418
524,1,2,53419
525,6,0,53413
526,11,3,53405
527,7,1,53399
528,2,4,53401
529,9,3,53395
530,4,1,53392
531,5,2,53389
532,8,2,53383
533,7,1,53377
534,5,1,53373
535,2,2,53373
536,12,2,53363
537,5,3,53361
538,6,0,53355
539,6,0,53349
540,5,1,53345
541,5,2,53342
542,8,1,53335
543,5,0,53330
544,8,1,53323
545,3,0,53320
546,8,0,53312
547,7,0,53305
548,7,0,53298
549,8,4,53294
550,11,1,53284
551,4,0,53280
552,12,3,53271
553,7,0,53264
554,4,3,53263
555,5,6,53264
556,5,0,53259
557,8,2,53253
558,9,3,53247
559,9,3,53241
560,7,2,53236
561,7,2,53231
562,3,1,53229
563,4,0,53225
564,6,1,53220
565,9,4,53215
566,6,1,53210
567,9,2,53203
568,6,0,53197
569,5,3,53195
570,9,3,53189
571,7,2,53184
572,9,2,53177
573,6,1,53172
574,6,3,53169
575,3,0,53166
576,5,3,53164
577,7,0,53157
578,5,0,53152
579,4,3,53151
580,6,0,53145
581,2,1,53144
582,8,1,53137
583,11,1,53127
584,9,0,53118
585,10,1,53109
586,6,1,53104
587,5,1,53100
588,6,2,53096
589,8,2,53090
590,3,2,53089
591,6,0,53083
592,6,1,53078
593,9,0,53069
594,4,2,53067
595,7,2,53062
596,9,0,53053
597,4,3,53052
598,5,0,53047
599,7,0,53040
600,5,1,53036
601,6,2,53032
602,2,1,53031
